"fixture_id","h2h_last","h2h_matches","h2h_home_wins","h2h_draws","h2h_away_wins","h2h_home_goals_for","h2h_home_goals_against","h2h_home_goal_diff","updated_at"
"1391129",10,9,2,3,4,"0.6666667","0.7777778","-0.11111111","2025-12-14 17:21:25.99488-08"
"1391130",10,10,5,0,5,"0.7","1","-0.3","2025-12-14 17:21:24.442426-08"
"1391131",10,10,1,5,4,"0.6","1","-0.4","2025-12-14 17:21:29.003488-08"
"1391132",10,10,5,4,1,"1.7","1.2","0.5","2025-12-14 17:21:24.91273-08"
"1391133",10,10,0,4,6,"0.4","1.7","-1.3","2025-12-14 17:21:28.054109-08"
"1391134",10,10,4,4,2,"1","0.9","0.1","2025-12-14 17:21:28.526659-08"
"1391135",10,10,2,5,3,"1.1","1.4","-0.3","2025-12-14 17:21:26.509013-08"
"1391136",10,10,4,2,4,"1.2","1.4","-0.2","2025-12-14 17:21:25.512163-08"
"1391137",10,10,4,1,5,"1.1","1.2","-0.1","2025-12-14 17:21:27.563306-08"
"1391138",10,10,4,3,3,"1.8","1.9","-0.1","2025-12-14 17:21:27.089812-08"
"1391139",10,10,3,4,3,"1.1","1.1","0","2025-12-14 17:21:32.996349-08"
"1391140",10,10,6,2,2,"2.4","1.8","0.6","2025-12-14 17:21:32.036592-08"
"1391141",10,10,1,1,8,"0.3","1.9","-1.6","2025-12-14 17:21:30.069846-08"
"1391142",10,10,1,3,6,"1.1","1.7","-0.6","2025-12-14 17:21:33.473297-08"
"1391143",10,10,1,1,8,"1.1","2.7","-1.6","2025-12-14 17:21:31.552836-08"
"1391144",10,10,4,3,3,"1.2","1","0.2","2025-12-14 17:21:29.492598-08"
"1391145",10,10,6,0,4,"1.2","1.1","0.1","2025-12-14 17:21:32.521922-08"
"1391146",10,10,9,0,1,"2.6","0.7","1.9","2025-12-14 17:21:30.5838-08"
"1391147",10,10,4,4,2,"1.3","1","0.3","2025-12-14 17:21:33.95858-08"
"1391148",10,1,0,0,1,"0","2","-2","2025-12-14 17:21:31.07217-08"
"1391149",10,10,2,3,5,"0.4","1","-0.6","2025-12-14 17:22:15.877492-08"
"1391150",10,0,0,0,0,"0","0","0","2025-12-14 17:22:12.903978-08"
"1391151",10,10,5,2,3,"1","0.7","0.3","2025-12-14 17:22:12.399578-08"
"1391152",10,10,2,0,8,"0.8","2.4","-1.6","2025-12-14 17:22:16.868735-08"
"1391153",10,10,1,6,3,"0.3","0.8","-0.5","2025-12-14 17:22:13.860302-08"
"1391154",10,10,4,1,5,"1.3","1.3","0","2025-12-14 17:22:14.92143-08"
"1391155",10,10,1,1,8,"0.8","2.1","-1.3","2025-12-14 17:22:14.455249-08"
"1391156",10,10,3,2,5,"1","1.3","-0.3","2025-12-14 17:22:15.392576-08"
"1391157",10,10,1,1,8,"1","2.3","-1.3","2025-12-14 17:22:13.38555-08"
"1391158",10,8,4,1,3,"2","1","1","2025-12-14 17:22:16.34622-08"
"1391159",10,10,5,2,3,"1","0.8","0.2","2025-12-14 17:22:39.74719-08"
"1391160",10,10,7,3,0,"1.8","0.6","1.2","2025-12-14 17:22:38.802677-08"
"1391161",10,10,6,0,4,"2.6","1.9","0.7","2025-12-14 17:22:39.276417-08"
"1391162",10,6,3,0,3,"1.1666666","1.1666666","0","2025-12-14 17:22:40.675338-08"
"1391163",10,10,3,2,5,"0.8","1.2","-0.4","2025-12-14 17:22:36.174288-08"
"1391164",10,10,2,2,6,"0.9","1.6","-0.7","2025-12-14 17:22:38.339451-08"
"1391165",10,10,4,3,3,"1.5","1.5","0","2025-12-14 17:22:37.249076-08"
"1391166",10,9,3,3,3,"0.6666667","0.8888889","-0.22222222","2025-12-14 17:22:40.212533-08"
"1391167",10,5,2,1,2,"1","1.2","-0.2","2025-12-14 17:22:36.67331-08"
"1391168",10,10,6,3,1,"1.8","1","0.8","2025-12-14 17:22:37.76049-08"
"1391169",10,10,0,2,8,"0.6","2.5","-1.9","2025-12-14 17:22:42.190184-08"
"1391170",10,9,4,3,2,"1.6666666","0.8888889","0.7777778","2025-12-14 17:22:43.581513-08"
"1391171",10,10,5,2,3,"1.8","1.6","0.2","2025-12-14 17:22:42.645383-08"
"1391172",10,10,1,4,5,"0.8","1.6","-0.8","2025-12-14 17:22:43.106059-08"
"1391173",10,10,4,2,4,"0.8","0.8","0","2025-12-14 17:22:45.602466-08"
"1391174",10,10,1,5,4,"1","1.8","-0.8","2025-12-14 17:22:45.121409-08"
"1391175",10,10,2,0,8,"0.7","1.5","-0.8","2025-12-14 17:22:41.733346-08"
"1391176",10,1,1,0,0,"3","0","3","2025-12-14 17:22:44.531049-08"
"1391177",10,10,1,6,3,"0.7","1","-0.3","2025-12-14 17:22:41.144368-08"
"1391178",10,10,5,3,2,"1.9","1.2","0.7","2025-12-14 17:22:44.055251-08"
"1391179",10,10,5,1,4,"1.3","1.3","0","2025-12-14 17:23:07.100172-08"
"1391180",10,10,6,3,1,"2.3","1.1","1.2","2025-12-14 17:23:05.678192-08"
"1391181",10,10,7,3,0,"3.2","1.3","1.9","2025-12-14 17:23:07.604743-08"
"1391182",10,10,3,3,4,"1","1.2","-0.2","2025-12-14 17:23:08.121684-08"
"1391183",10,10,5,3,2,"1.5","0.9","0.6","2025-12-14 17:23:05.208002-08"
"1391184",10,10,5,4,1,"1.2","0.5","0.7","2025-12-14 17:23:06.623968-08"
"1391185",10,10,2,2,6,"0.6","2","-1.4","2025-12-14 17:23:09.103154-08"
"1391186",10,10,3,5,2,"0.9","0.6","0.3","2025-12-14 17:23:04.731788-08"
"1391187",10,3,1,1,1,"0.6666667","0.6666667","0","2025-12-14 17:23:06.162071-08"
"1391188",10,10,0,2,8,"1","2.1","-1.1","2025-12-14 17:23:08.614902-08"
"1391189",10,9,3,0,6,"0.7777778","1.1111112","-0.33333334","2025-12-14 17:23:21.660534-08"
"1391190",10,10,5,1,4,"2.1","2.1","0","2025-12-14 17:23:19.544462-08"
"1391191",10,10,2,4,4,"1.6","1.9","-0.3","2025-12-14 17:23:24.196739-08"
"1391192",10,10,1,1,8,"0.9","1.8","-0.9","2025-12-14 17:23:21.172184-08"
"1391193",10,10,5,3,2,"1.5","1.1","0.4","2025-12-14 17:23:20.146514-08"
"1391194",10,10,4,1,5,"0.9","1","-0.1","2025-12-14 17:23:23.268508-08"
"1391195",10,8,2,5,1,"0.75","0.625","0.125","2025-12-14 17:23:20.708165-08"
"1391196",10,10,7,1,2,"1.6","0.5","1.1","2025-12-14 17:23:22.247324-08"
"1391197",10,10,0,1,9,"0.7","3.4","-2.7","2025-12-14 17:23:22.807548-08"
"1391198",10,10,1,5,4,"1.3","1.8","-0.5","2025-12-14 17:23:23.741625-08"
